id,label,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Documents>,weight<Citations>,weight<Norm. citations>,score<Avg. pub. year>,score<Avg. citations>,score<Avg. norm. citations>
991245,,90.5297,23.0472,21,0,0,0,0,0,0,0,0
991250,,90.5903,23.3025,21,0,0,0,0,0,0,0,0
991255,,90.5842,23.5839,21,0,0,0,0,0,0,0,0
991260,,89.8453,25.2886,21,0,0,0,0,0,0,0,0
991265,,91.6136,22.9431,21,0,0,0,0,0,0,0,0
991270,,92.2608,21.4144,21,0,0,0,0,0,0,0,0
991275,,90.8336,22.6856,21,0,0,0,0,0,0,0,0
991280,,90.4466,23.065,21,0,0,0,0,0,0,0,0
991285,,90.2725,21.8492,21,0,0,0,0,0,0,0,0
991290,,89.5811,21.7017,21,0,0,0,0,0,0,0,0
991295,,88.5639,23.6522,21,0,0,0,0,0,0,0,0
991300,,88.1105,25.8356,21,0,0,0,0,0,0,0,0
991305,,90.2378,22.1928,21,0,0,0,0,0,0,0,0
991310,,-87.8033,17.2942,21,0,0,0,0,0,0,0,0
991315,,-87.9267,17.2756,21,0,0,0,0,0,0,0,0
991320,,-88.0536,17.6131,21,0,0,0,0,0,0,0,0
991325,,-88.1325,17.6672,21,0,0,0,0,0,0,0,0
991330,,-88.3778,18.4828,21,0,0,0,0,0,0,0,0
991335,,-88.9106,15.8936,21,0,0,0,0,0,0,0,0
991340,,17.5785,42.9438,21,0,0,0,0,0,0,0,0
991345,,19.3714,44.8892,21,0,0,0,0,0,0,0,0
991350,,19.2288,43.5132,21,0,0,0,0,0,0,0,0
991355,,-65.7481,-22.1117,21,0,0,0,0,0,0,0,0
991360,,-68.757,-20.4069,21,0,0,0,0,0,0,0,0
991365,,-69.4997,-17.5053,21,0,0,0,0,0,0,0,0
991370,,-69.3664,-14.8025,21,0,0,0,0,0,0,0,0
991375,,-68.5834,-11.1061,21,0,0,0,0,0,0,0,0
991380,,-64.3942,-12.4617,21,0,0,0,0,0,0,0,0
991385,,-60.2589,-15.0936,21,0,0,0,0,0,0,0,0
991390,,-57.7431,-17.5931,21,0,0,0,0,0,0,0,0
991395,,-58.1514,-19.8281,21,0,0,0,0,0,0,0,0
991400,,-63.9411,-22.0008,21,0,0,0,0,0,0,0,0
991405,,98.025,9.8383,21,0,0,0,0,0,0,0,0
